sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0531,1455,435,17,562,441,0,1,1
BV3-0532,1065,281,5,342,437,0,1,1
BV3-0533,867,252,3,182,430,0,8,1
BV3-0534,877,254,3,189,431,0,11,1
BV3-0535,1162,317,7,386,452,0,1,2
BV3-0536,1267,362,11,441,453,0,1,1
BV3-0537,910,236,1,224,449,0,1,1
BV3-0538,1584,507,21,618,438,0,48,1
BV3-0539,1275,361,11,464,439,0,1,1
BV3-0540,1428,432,17,540,439,0,1,1
BV3-0541,1099,309,7,347,436,0,1,1
BV3-0542,773,219,1,108,445,0,12,1
BV3-0543,894,234,1,224,435,0,1,1
BV3-0544,1252,358,11,445,438,0,1,1
BV3-0545,1508,468,17,585,438,0,1,1
BV3-0546,923,237,1,250,435,0,2,1
BV3-0547,904,236,1,231,436,0,1,1
BV3-0548,1484,432,19,577,456,0,1,2
BV3-0549,1350,392,13,491,454,0,1,1
BV3-0550,1263,359,11,441,452,0,1,1
BV3-0551,887,256,3,196,432,0,14,1
BV3-0552,867,252,3,182,430,0,8,1
BV3-0553,902,235,1,231,435,0,1,1
BV3-0554,1002,250,0,314,438,0,2,1
BV3-0555,928,239,1,238,450,0,1,1
BV3-0556,1151,314,7,392,438,0,1,1
BV3-0557,894,234,1,224,435,0,1,1
BV3-0558,1193,325,5,424,439,0,1,1
BV3-0559,1256,359,11,448,438,0,1,1
BV3-0560,1302,365,11,486,440,0,1,1
BV3-0561,1556,472,0,629,455,0,1,3
BV3-0562,1368,394,0,520,454,0,1,1
BV3-0563,1502,438,0,607,457,0,1,1
BV3-0564,1174,320,7,409,438,0,2,1
BV3-0565,1022,252,0,331,439,0,2,1
BV3-0566,1340,371,0,528,441,0,2,1
BV3-0567,1173,320,7,408,438,0,2,1
BV3-0568,1007,248,0,306,453,0,1,1
BV3-0569,1963,717,35,775,436,0,1,1
BV3-0570,1474,442,15,578,439,0,1,1
BV3-0571,867,252,3,182,430,0,8,1
BV3-0572,867,252,3,182,430,0,8,1
BV3-0573,849,250,3,167,429,0,5,1
BV3-0574,1100,283,0,364,453,0,1,3
BV3-0575,1425,401,0,567,457,0,1,1
BV3-0576,1135,314,7,363,451,0,1,1
BV3-0577,867,252,0,185,430,0,8,1
BV3-0578,1308,370,15,484,439,0,2,1
BV3-0579,1351,372,0,538,441,0,2,1
BV3-0580,1028,253,0,336,439,0,2,1
BV3-0581,993,246,0,295,452,0,1,1
BV3-0582,844,228,1,182,433,0,1,1
BV3-0583,887,256,3,196,432,0,14,1
BV3-0584,1100,311,7,344,438,0,1,1
BV3-0586,1162,317,7,399,439,0,1,1
BV3-0587,1196,300,0,437,459,0,1,3
BV3-0588,1347,371,0,518,458,0,1,1
BV3-0589,826,239,0,120,467,0,15,1
BV3-0590,877,254,0,192,431,0,11,1
BV3-0591,1174,295,0,438,441,0,1,1
BV3-0592,1198,324,7,428,439,0,2,1
BV3-0593,1019,252,0,328,439,0,2,1
BV3-0594,1005,248,0,304,453,0,1,1
BV3-0595,887,256,3,196,432,0,14,1
BV3-0596,867,252,3,182,430,0,8,1
BV3-0597,1160,295,0,425,440,0,2,1
BV3-0598,1046,255,0,351,440,0,2,1
BV3-0599,867,252,3,182,430,0,8,1
BV3-0600,1497,437,0,604,456,0,1,3
