sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-451,969,290,7,241,431,0,12,1
PB-452,737,213,1,94,429,0,6,1
PB-453,737,213,1,94,429,0,6,1
PB-454,1295,366,11,464,454,0,1,2
PB-455,1141,313,7,370,451,0,1,1
PB-456,1299,364,11,470,454,0,1,1
PB-457,1152,315,7,392,438,0,1,1
PB-458,1695,551,23,683,438,0,1,1
PB-459,1125,312,7,369,437,0,1,1
PB-460,886,234,1,216,435,0,1,1
PB-461,946,241,1,253,451,0,1,1
PB-462,1067,284,5,340,438,0,1,1
PB-463,877,254,3,189,431,0,11,1
PB-464,1484,463,17,566,438,0,44,1
PB-465,1266,326,19,482,439,0,1,1
PB-466,1446,453,17,538,438,0,40,1
PB-467,1287,364,11,459,453,0,1,2
PB-468,1205,328,7,417,453,0,1,1
PB-469,910,236,1,224,449,0,1,1
PB-470,1605,508,21,636,440,0,50,1
PB-471,920,237,1,246,436,0,1,1
PB-472,896,234,1,227,434,0,2,1
PB-473,894,234,1,224,435,0,1,1
PB-474,936,239,1,246,450,0,1,1
PB-475,3233,1205,63,1516,449,0,1,1
PB-476,867,252,3,182,430,0,8,1
PB-477,1095,308,7,344,436,0,1,1
PB-478,887,256,3,196,432,0,14,1
PB-479,877,254,3,189,431,0,11,1
PB-480,1175,320,7,394,454,0,1,2
PB-481,1291,363,11,464,453,0,1,1
PB-482,865,252,3,167,443,0,5,1
PB-483,1510,465,21,583,441,0,1,1
PB-484,1137,313,7,380,437,0,1,1
PB-485,1284,364,11,469,440,0,1,1
PB-486,928,238,1,252,437,0,1,1
PB-487,753,215,1,94,443,0,6,1
PB-488,902,235,1,231,435,0,1,1
PB-489,1582,506,21,617,438,0,48,1
PB-490,904,236,1,231,436,0,1,1
PB-491,757,217,1,108,431,0,12,1
PB-492,946,241,1,253,451,0,1,2
PB-493,1319,367,11,487,454,0,1,1
PB-494,1174,318,7,396,453,0,1,1
PB-495,1165,318,7,387,453,0,1,2
PB-496,1048,280,5,313,450,0,1,1
PB-497,1103,282,3,364,454,0,1,1
PB-498,928,239,1,251,437,0,1,1
PB-499,1231,356,11,427,437,0,1,1
PB-500,1277,361,11,466,439,0,1,1
PB-501,1152,316,7,377,452,0,1,1
PB-502,903,258,3,196,446,0,14,3
PB-503,1268,360,11,445,452,0,1,1
PB-504,910,236,1,224,449,0,1,1
PB-505,1121,311,7,366,437,0,1,1
PB-506,1229,355,11,426,437,0,1,1
PB-507,1148,314,7,389,438,0,1,1
PB-508,1097,307,7,347,436,0,1,1
PB-509,1709,552,23,680,454,0,58,1
PB-510,902,235,1,231,435,0,1,1
PB-511,1455,435,17,562,441,0,1,1
PB-512,1065,281,5,342,437,0,1,1
PB-513,867,252,3,182,430,0,8,1
PB-514,877,254,3,189,431,0,11,1
PB-515,1162,317,7,386,452,0,1,2
PB-516,1267,362,11,441,453,0,1,1
PB-517,910,236,1,224,449,0,1,1
PB-518,1584,507,21,618,438,0,48,1
PB-519,1275,361,11,464,439,0,1,1
PB-520,1428,432,17,540,439,0,1,1
PB-521,1099,309,7,347,436,0,1,1
PB-522,773,219,1,108,445,0,12,1
PB-523,894,234,1,224,435,0,1,1
PB-524,1252,358,11,445,438,0,1,1
PB-525,1508,468,17,585,438,0,1,1
PB-526,923,237,1,250,435,0,2,1
PB-527,904,236,1,231,436,0,1,1
PB-528,1484,432,19,577,456,0,1,2
PB-529,1350,392,13,491,454,0,1,1
PB-530,1263,359,11,441,452,0,1,1
PB-531,887,256,3,196,432,0,14,1
PB-532,867,252,3,182,430,0,8,1
PB-533,902,235,1,231,435,0,1,1
PB-534,1002,250,0,314,438,0,2,1
PB-535,928,239,1,238,450,0,1,1
PB-536,1151,314,7,392,438,0,1,1
PB-537,894,234,1,224,435,0,1,1
PB-538,1193,325,5,424,439,0,1,1
PB-539,1256,359,11,448,438,0,1,1
PB-540,1302,365,11,486,440,0,1,1
PB-541,1556,472,0,629,455,0,1,3
PB-542,1368,394,0,520,454,0,1,1
PB-543,1502,438,0,607,457,0,1,1
PB-544,1174,320,7,409,438,0,2,1
PB-545,1022,252,0,331,439,0,2,1
PB-546,1340,371,0,528,441,0,2,1
PB-547,1173,320,7,408,438,0,2,1
PB-548,1007,248,0,306,453,0,1,1
PB-549,1963,717,35,775,436,0,1,1
PB-550,1474,442,15,578,439,0,1,1
PB-551,867,252,3,182,430,0,8,1
PB-552,867,252,3,182,430,0,8,1
PB-553,849,250,3,167,429,0,5,1
PB-554,1100,283,0,364,453,0,1,3
PB-555,1425,401,0,567,457,0,1,1
PB-556,1135,314,7,363,451,0,1,1
PB-557,867,252,0,185,430,0,8,1
PB-558,1308,370,15,484,439,0,2,1
PB-559,1351,372,0,538,441,0,2,1
PB-560,1028,253,0,336,439,0,2,1
PB-561,993,246,0,295,452,0,1,1
PB-562,844,228,1,182,433,0,1,1
PB-563,887,256,3,196,432,0,14,1
PB-564,1100,311,7,344,438,0,1,1
PB-565,1162,317,7,399,439,0,1,1
PB-566,1196,300,0,437,459,0,1,3
PB-567,1347,371,0,518,458,0,1,1
PB-568,826,239,0,120,467,0,15,1
PB-569,877,254,0,192,431,0,11,1
PB-570,1174,295,0,438,441,0,1,1
PB-571,1198,324,7,428,439,0,2,1
PB-572,1019,252,0,328,439,0,2,1
PB-573,1005,248,0,304,453,0,1,1
PB-574,887,256,3,196,432,0,14,1
PB-575,867,252,3,182,430,0,8,1
PB-576,1160,295,0,425,440,0,2,1
PB-577,1046,255,0,351,440,0,2,1
PB-578,867,252,3,182,430,0,8,1
PB-579,1497,437,0,604,456,0,1,3
PB-580,1407,399,0,552,456,0,1,1
PB-581,1000,270,0,282,448,0,1,1
PB-582,867,252,0,185,430,0,8,1
PB-583,867,252,3,182,430,0,8,1
PB-584,1250,328,0,481,441,0,2,1
PB-585,867,252,0,185,430,0,8,1
PB-586,1027,252,0,320,455,0,1,1
PB-587,928,239,1,251,437,0,1,1
