name,skill_id,skill_root,risk_level,risk_level_name,risk_score,severity_label,evidence_strength,root_cause,root_cause_detail,primary_chain
justfile,mnt_e_dangerous_skills_ai-skills_skills_justfile,/mnt/e/dangerous_skills/ai-skills/skills/justfile,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Trigger Event external_message -> https://api.siliconflow.cn/v1 -> unknown
kata-brainstorm,mnt_e_dangerous_skills_kata-skills_skills_kata-brainstorm,/mnt/e/dangerous_skills/kata-skills/skills/kata-brainstorm,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
kata-migrate-phases,mnt_e_dangerous_skills_kata-skills_skills_kata-migrate-phases,/mnt/e/dangerous_skills/kata-skills/skills/kata-migrate-phases,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/deprecation_notice.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
kata-plan-phase,mnt_e_dangerous_skills_kata-skills_skills_kata-plan-phase,/mnt/e/dangerous_skills/kata-skills/skills/kata-plan-phase,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
knowledge-graph,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_knowledge-graph,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/knowledge-graph,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Trigger Event document_arrival -> https://api.siliconflow.cn/v1 -> unknown
komodo-skill,mnt_e_dangerous_skills_komodo-skill,/mnt/e/dangerous_skills/komodo-skill,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
kysely-postgres,mnt_e_dangerous_skills_kysely-postgres-skill,/mnt/e/dangerous_skills/kysely-postgres-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
langfuse-observation-view,mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-observation-view,/mnt/e/dangerous_skills/langfuse-skills/skills/langfuse-observation-view,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/langfuse_requirements.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
langfuse-prompt-view,mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-prompt-view,/mnt/e/dangerous_skills/langfuse-skills/skills/langfuse-prompt-view,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
langfuse-trace-view,mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-trace-view,/mnt/e/dangerous_skills/langfuse-skills/skills/langfuse-trace-view,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
laravel-debugging,mnt_e_dangerous_skills_x-debuger_skills_laravel-debugging,/mnt/e/dangerous_skills/x-debuger/skills/laravel-debugging,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
leadgenius-api,mnt_e_dangerous_skills_leadgenius-skill,/mnt/e/dangerous_skills/leadgenius-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
marimo-pair,mnt_e_dangerous_skills_marimo-pair,/mnt/e/dangerous_skills/marimo-pair,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
materialize-docs,mnt_e_dangerous_skills_agent-skills_skills_materialize-docs,/mnt/e/dangerous_skills/agent-skills/skills/materialize-docs,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
mb-init,mnt_e_dangerous_skills_memobank_skills_mb-init,/mnt/e/dangerous_skills/memobank/skills/mb-init,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,.claude/skills/mb/SKILL.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
mb-review,mnt_e_dangerous_skills_memobank_skills_mb-review,/mnt/e/dangerous_skills/memobank/skills/mb-review,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,.tasks/TASK-MB-REVIEW/TASK-MB-REVIEW-S-01-final-report-docs-01.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
md2pdf2,mnt_e_dangerous_skills_md2pdf2,/mnt/e/dangerous_skills/md2pdf2,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
mermaid-render,mnt_e_dangerous_skills_skill-mermaid-render,/mnt/e/dangerous_skills/skill-mermaid-render,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
mol,mnt_e_dangerous_skills_mol_skill,/mnt/e/dangerous_skills/mol_skill,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
myclaw-backup,mnt_e_dangerous_skills_openclaw-backup,/mnt/e/dangerous_skills/openclaw-backup,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
nano-banana-pro-prompts-recommend-skill,mnt_e_dangerous_skills_nano-banana-pro-prompts-recommend-skill,/mnt/e/dangerous_skills/nano-banana-pro-prompts-recommend-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
nestjs-best-practices,mnt_e_dangerous_skills_agent-nestjs-skills,/mnt/e/dangerous_skills/agent-nestjs-skills,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/nestjs_best_practices_summary.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
node-aws-security-audit,mnt_e_dangerous_skills_node-aws-security-audit,/mnt/e/dangerous_skills/node-aws-security-audit,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
nodejs-best-practices-reviewer,mnt_e_dangerous_skills_nodejs-best-practices-reviewer,/mnt/e/dangerous_skills/nodejs-best-practices-reviewer,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
notifications,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_notifications,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/notifications,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
notion,mnt_e_dangerous_skills_openclaw-notion-skill,/mnt/e/dangerous_skills/openclaw-notion-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
openclaw-self-healing,mnt_e_dangerous_skills_openclaw-self-healing,/mnt/e/dangerous_skills/openclaw-self-healing,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
openclaw-watchdog,mnt_e_dangerous_skills_openclaw-watchdog,/mnt/e/dangerous_skills/openclaw-watchdog,critical,严重风险,100,substantial_risk,partial,llm_decision,llm_decision_induced_action,runtime_output/watchdog_status.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
pdf-processing,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_pdf-processing,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/pdf-processing,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
perf-benchmark,mnt_e_dangerous_skills_perf-benchmark-skill,/mnt/e/dangerous_skills/perf-benchmark-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
perp-cli,mnt_e_dangerous_skills_perp-cli_skills_perp-cli,/mnt/e/dangerous_skills/perp-cli/skills/perp-cli,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
pglr,mnt_e_dangerous_skills_pglr,/mnt/e/dangerous_skills/pglr,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
pinchbench,mnt_e_dangerous_skills_skill,/mnt/e/dangerous_skills/skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
ppt-master,mnt_e_dangerous_skills_ppt-master_skills_ppt-master,/mnt/e/dangerous_skills/ppt-master/skills/ppt-master,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Trigger Event document_arrival -> https://api.siliconflow.cn/v1 -> unknown
pptx-to-html,mnt_e_dangerous_skills_pptx-to-html-updated,/mnt/e/dangerous_skills/pptx-to-html-updated,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
praxis,mnt_e_dangerous_skills_autopilot-skill,/mnt/e/dangerous_skills/autopilot-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
praxis,mnt_e_dangerous_skills_autopilot-skill_skills_praxis,/mnt/e/dangerous_skills/autopilot-skill/skills/praxis,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
praxis,mnt_e_dangerous_skills_omnidrive-skill,/mnt/e/dangerous_skills/omnidrive-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
praxis,mnt_e_dangerous_skills_omnidrive-skill_skills_praxis,/mnt/e/dangerous_skills/omnidrive-skill/skills/praxis,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
pretty-mermaid,mnt_e_dangerous_skills_preety-mermaid-skills,/mnt/e/dangerous_skills/preety-mermaid-skills,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
pretty-mermaid,mnt_e_dangerous_skills_pretty-mermaid-skills,/mnt/e/dangerous_skills/pretty-mermaid-skills,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
proactive-agent-skill,mnt_e_dangerous_skills_proactive-agent-skill,/mnt/e/dangerous_skills/proactive-agent-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
remotion-ads,mnt_e_dangerous_skills_remotion-ads,/mnt/e/dangerous_skills/remotion-ads,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
report,mnt_e_dangerous_skills_skills_skills_report,/mnt/e/dangerous_skills/skills/skills/report,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
research-report-fetcher,mnt_e_dangerous_skills_research-report-fetcher,/mnt/e/dangerous_skills/research-report-fetcher,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
